Time,Theta,Velocity,Error
4.26,1086.3,255,416.25
4.27,1088.85,255,413.7
4.28,1091.4,255,411.15
4.29,1093.95,255,408.6
4.3,1096.5,255,406.05
4.31,1099.05,255,403.5
4.32,1101.6,255,400.95
4.33,1104.15,255,398.4
4.34,1106.7,255,395.85
4.35,1109.25,255,393.3
4.36,1111.8,255,390.75
4.37,1114.35,255,388.2
4.38,1116.9,255,385.65
4.39,1119.45,255,383.1
4.4,1122,255,380.55
4.41,1124.55,255,378
4.42,1127.1,255,375.45
4.43,1129.65,255,372.9
4.44,1132.2,255,370.35
4.45,1134.75,255,367.8
4.46,1137.3,255,365.25
4.47,1139.85,255,362.7
4.48,1142.4,255,360.15
4.49,1144.95,255,357.6
4.5,1147.5,255,355.05
4.51,1150.05,255,352.5
4.52,1152.6,255,349.95
4.53,1155.15,255,347.4
4.54,1157.7,255,344.85
4.55,1160.25,255,342.3
4.56,1162.8,255,339.75
4.57,1165.35,255,337.2
4.58,1167.9,255,334.65
4.59,1170.45,255,332.1
4.6,1173,255,329.55
4.61,1175.55,255,327
4.62,1178.1,255,324.45
4.63,1180.65,255,321.9
4.64,1183.2,255,319.35
4.65,1185.75,255,316.8
4.66,1188.3,255,314.25
4.67,1190.85,255,311.7
4.68,1193.4,255,309.15
4.69,1195.95,255,306.6
4.7,1198.5,255,304.05
4.71,1201.05,255,301.5
4.72,1203.6,255,298.95
4.73,1206.15,255,296.4
4.74,1208.7,255,293.85
4.75,1211.25,255,291.3
4.76,1213.8,255,288.75
4.77,1216.35,255,286.2
4.78,1218.9,255,283.65
4.79,1221.45,255,281.1
4.8,1224,255,278.55
4.81,1226.55,255,276
4.82,1229.1,255,273.45
4.83,1231.65,255,270.9
4.84,1234.2,255,268.35
4.85,1236.75,255,265.8
4.86,1239.3,255,263.25
4.87,1241.85,255,260.7
4.88,1244.4,255,258.15
4.89,1246.95,255,255.6
4.9,1249.5,255,253.05
4.91,1252.05,255,250.5
4.92,1254.6,255,247.95
4.93,1257.15,255,245.4
4.94,1259.7,255,242.85
4.95,1262.25,255,240.3
4.96,1264.8,255,237.75
4.97,1267.35,255,235.2
4.98,1269.9,255,232.65
4.99,1272.45,255,230.1
5,1275,255,227.55
5.01,1277.55,255,225
5.02,1280.1,255,222.45
5.03,1282.65,255,219.9
5.04,1285.2,255,217.35
5.05,1287.75,255,214.8
5.06,1290.3,255,212.25
5.07,1292.85,255,209.7
5.08,1295.4,255,207.15
5.09,1297.95,255,204.6
5.1,1300.5,255,202.05
5.11,1303.05,255,199.5
5.12,1305.6,255,196.95
5.13,1308.15,255,194.4
5.14,1310.7,255,191.85
5.15,1313.25,255,189.3
5.16,1315.8,255,186.75
5.17,1318.35,255,184.2
5.18,1320.9,255,181.65
5.19,1323.45,255,179.1
5.2,1326,255,176.55
5.21,1328.55,255,174
5.22,1331.1,255,171.45
5.23,1333.65,255,168.9
5.24,1336.2,255,166.35
5.25,1338.75,255,163.8
5.26,1341.3,255,161.25
5.27,1343.85,255,158.7
5.28,1346.4,255,156.15
5.29,1348.95,255,153.6
5.3,1351.5,255,151.05
5.31,1354.05,255,148.5
5.32,1356.6,255,145.95
5.33,1359.15,255,143.4
5.34,1361.7,255,140.85
5.35,1364.25,255,138.3
5.36,1366.8,255,135.75
5.37,1369.35,255,133.2
5.38,1371.9,255,130.65
5.39,1374.45,255,128.1
5.4,1377,255,125.55
5.41,1379.55,255,123
5.42,1382.1,255,120.45
5.43,1384.65,255,117.9
5.44,1387.2,255,115.35
5.45,1389.75,255,112.8
5.46,1392.3,255,110.25
5.47,1394.85,255,107.7
5.48,1397.4,255,105.15
5.49,1399.95,255,102.6
5.5,1402.5,255,100.05
5.51,1405.05,255,97.5
5.52,1407.6,255,94.95
5.53,1410.15,255,92.4
5.54,1412.7,255,89.85
5.55,1415.25,255,87.3
5.56,1417.8,255,84.75
5.57,1420.35,255,82.2
5.58,1422.9,255,79.65
5.59,1425.45,255,77.1
5.6,1428,255,74.55
5.61,1430.55,255,72
5.62,1433.1,255,69.45
5.63,1435.65,255,66.9
5.64,1438.2,255,64.35
5.65,1440.75,255,61.8
5.66,1443.3,255,59.25
5.67,1445.85,255,56.7
5.68,1448.4,255,54.15
5.69,1450.95,255,51.6
5.7,1453.5,255,49.05
5.71,1456.05,255,46.5
5.72,1458.6,255,43.95
5.73,1461.15,255,41.4
5.74,1463.7,255,38.85
5.75,1466.25,255,36.3
5.76,1468.8,255,33.75
5.77,1471.35,255,31.2
5.78,1473.9,255,28.65
5.79,1476.45,255,26.1
5.8,1479,255,23.55
5.81,1481.55,255,21
5.82,1484.1,255,18.45
5.83,1486.65,255,15.9
5.84,1489.2,255,13.35
5.85,1491.75,255,10.8
5.86,1494.3,255,8.25
5.87,1496.85,255,5.7
5.88,1499.4,255,3.15
5.89,1501.95,255,0.6
5.9,1504.5,255,-1.95
5.91,1507.05,255,-4.5
5.92,1509.6,255,-7.05
5.93,1512.15,255,-9.6
5.94,1514.7,255,-12.15
5.95,1517.25,255,-14.7
5.96,1519.8,255,-17.25
5.97,1522.35,255,-19.8
5.98,1524.9,255,-22.35
5.99,1527.45,255,-24.9
6,1530,255,-27.45
6.01,1532.55,255,-30
6.02,1535.1,255,-32.55
6.03,1537.65,255,-35.1
6.04,1540.2,255,-37.65
6.05,1542.75,255,-40.2
6.06,1545.3,255,-42.75
6.07,1547.85,255,-45.3
6.08,1550.4,255,-47.85
6.09,1552.95,255,-50.4
6.1,1555.5,255,-52.95
6.11,1558.05,255,-55.5
6.12,1560.6,255,-58.05
6.13,1563.15,255,-60.6
6.14,1565.7,255,-63.15
6.15,1568.25,255,-65.7
6.16,1570.8,255,-68.25
6.17,1573.35,255,-70.8
6.18,1575.9,255,-73.35
6.19,1578.45,255,-75.9
6.2,1581,255,-78.45
6.21,1583.55,255,-81
6.22,1586.1,255,-83.55
6.23,1588.65,255,-86.1
6.24,1591.2,255,-88.65
6.25,1593.75,255,-91.2
6.26,1596.3,255,-93.75
6.27,1598.85,255,-96.3
6.28,1601.4,255,-98.85
6.29,1603.95,255,-101.4
6.3,1606.5,255,-103.95
6.31,1609.05,255,-106.5
6.32,1611.6,255,-109.05
6.33,1614.15,255,-111.6
6.34,1616.7,255,-114.15
6.35,1619.25,255,-116.7
6.36,1621.8,255,-119.25
6.37,1624.35,255,-121.8
6.38,1626.9,255,-124.35
6.39,1629.45,255,-126.9
6.4,1632,255,-129.45
6.41,1634.55,255,-132
6.42,1637.1,255,-134.55
6.43,1639.65,255,-137.1
6.44,1642.2,255,-139.65
6.45,1644.75,255,-142.2
6.46,1647.3,255,-144.75
6.47,1649.85,255,-147.3
6.48,1652.4,255,-149.85
6.49,1654.95,255,-152.4
6.5,1657.5,255,-154.95
6.51,1660.05,255,-157.5
6.52,1662.6,255,-160.05
6.53,1665.15,255,-162.6
6.54,1667.7,255,-165.15
6.55,1670.25,255,-167.7
6.56,1672.8,255,-170.25
6.57,1675.35,255,-172.8
6.58,1677.9,255,-175.35
6.59,1680.45,255,-177.9
6.6,1683,255,-180.45
6.61,1685.55,255,-183
6.62,1688.1,255,-185.55
6.63,1690.65,255,-188.1
6.64,1693.2,255,-190.65
6.65,1695.75,255,-193.2
6.66,1698.3,255,-195.75
6.67,1700.85,255,-198.3
6.68,1703.4,255,-200.85
6.69,1705.95,255,-203.4
6.7,1708.5,255,-205.95
6.71,1711.05,255,-208.5
6.72,1713.6,255,-211.05
6.73,1716.15,255,-213.6
6.74,1718.7,255,-216.15
6.75,1721.25,255,-218.7
6.76,1723.8,255,-221.25
6.77,1726.35,255,-223.8
6.78,1728.9,255,-226.35
6.79,1731.45,255,-228.9
6.8,1734,255,-231.45
6.81,1736.55,255,-234
6.82,1739.1,255,-236.55
6.83,1741.65,255,-239.1
6.84,1744.2,255,-241.65
6.85,1746.75,255,-244.2
6.86,1749.3,255,-246.75
6.87,1751.85,255,-249.3
6.88,1754.4,255,-251.85
6.89,1756.95,255,-254.4
6.9,1759.5,255,-256.95
6.91,1762.05,255,-259.5
6.92,1764.6,255,-262.05
6.93,1767.15,255,-264.6
